A    aa
AB    aa b
ABA    aa b aa
ABA-ABA    aa b aa aa b aa
ABAD    aa b aa d
ABADI    aa b aa d ih
ABADIAH    aa b aa d ih aa hh
ABAH    aa b aa hh
ABAH-ABAH    aa b aa hh aa b aa hh
ABAI    aa b ##
ABAIMANA    aa b ## m aa n aa
ABAKA    aa b aa k aa
ABAKTINAL    aa b aa k t ih n aa l
ABAKUS    aa b aa k uw s
ABAL-ABAL    aa b aa l aa b aa l
ABAN    aa b aa n
ABANG    aa b aa ng
ABANGAN    aa b aa ng aa n
ABANGGA    aa b aa ng g aa
ABAR    aa b aa r
ABATOAR    aa b aa t ao aa r
ABAU    aa b ##
ABDAS    aa b d aa s
ABDI    aa b d ih
ABDIKASI    aa b d ih k aa s ih
ABDOMEN    aa b d ao m ## n
ABDOMINAL    aa b d ao m ih n aa l
ABDU    aa b d uw
ABDUKSI    aa b d uw k s ih
ABDUKTOR    aa b d uw k t ao r
ABECE    aa b ## ch ##
ABEN    aa b ## n
ABERASI    aa b ## r aa s ih
ABET    aa b ## t
ABIAN    aa b ih aa n
ABID    aa b ih d
ABIDIN    aa b ih d ih n
ABILAH    aa b ih l aa hh
ABING    aa b ih ng
ABIOGENESIS    aa b ih ao g ## n ## s ih s
ABIOSFER    aa b ih ao s f ## r
ABIOTIK    aa b ih ao t ih k
ABIS    aa b ih s
ABISAL    aa b ih s aa l
ABISEKA    aa b ih s ## k aa
ABITURIEN    aa b ih t uw r ih ## n
ABJAD    aa b jh aa d
ABJADIAH    aa b jh aa d ih aa hh
ABLASI    aa b l aa s ih
ABLAUT    aa b l ## t
ABLEPSIA    aa b l ## p s ih aa
ABNORMAL    aa b n ao r m aa l
ABNORMALITAS    aa b n ao r m aa l ih t aa s
ABNUS    aa b n uw s
ABOI    aa b ##
ABOLISI    aa b ao l ih s ih
ABON    aa b ao n
ABONEMEN    aa b ao n ## m ## n
ABONG-ABONG    aa b ao ng aa b ao ng
ABORSI    aa b ao r s ih
ABORTIF    aa b ao r t ih f
ABORTIVA    aa b ao r t ih f aa
ABORTUS    aa b ao r t uw s
ABRAK    aa b r aa k
ABRAKADABRA    aa b r aa k aa d aa b r aa
ABRAR    aa b r aa r
ABRAS    aa b r aa s
ABRASI    aa b r aa s ih
ABREAKSI    aa b r ## aa k s ih
ABREK    aa b r ## k
ABREVIASI    aa b r ## f ih aa s ih
ABRIKOS    aa b r ih k ao s
ABRIT-ABRIT    aa b r ih t aa b r ih t
ABROSFER    aa b r ao s f ## r
ABSAH    aa b s aa hh
ABSEN    aa b s ## n
ABSENSI    aa b s ## n s ih
ABSENSIA    aa b s ## n s ih aa
ABSENTE    aa b s ## n t ##
ABSENTEISME    aa b s ## n t ## s m ##
ABSES    aa b s ## s
ABSIS    aa b s ih s
ABSOLUSI    aa b s ao l uw s ih
ABSOLUT    aa b s ao l uw t
ABSOLUTISME    aa b s ao l uw t ih s m ##
ABSONAN    aa b s ao n aa n
ABSORB    aa b s ao r b
ABSORBEN    aa b s ao r b ## n
ABSORBIR    aa b s ao r b ih r
ABSORPSI    aa b s ao r p s ih
ABSORPSIOMETER    aa b s ao r p s ih ao m ## t ## r
ABSORPTIF    aa b s ao r p t ih f
ABSTAIN    aa b s t ## n
ABSTINENSI    aa b s t ih n ## n s ih
ABSTRAK    aa b s t r aa k
ABSTRAKSI    aa b s t r aa k s ih
ABSURD    aa b s uw r d
ABSURDISME    aa b s uw r d ih s m ##
ABTAR    aa b t aa r
ABU    aa b uw
ABU-ABU    aa b uw aa b uw
ABUAN    aa b uw aa n
ABUH    aa b uw hh
ABUK    aa b uw k
ABUK-ABUK    aa b uw k aa b uw k
ABUL    aa b uw l
ABULHAYAT    aa b uw l hh aa y aa t
ABULIA    aa b uw l ih aa
ABUN-ABUN    aa b uw n aa b uw n
ABUR    aa b uw r
ABUS    aa b uw s
ABYAD    aa b y aa d
ACAH    aa ch aa hh
ACAK    aa ch aa k
ACAK-ACAKAN    aa ch aa k aa ch aa k aa n
ACALA    aa ch aa l aa
ACAN    aa ch aa n
ACANG    aa ch aa ng
ACANG-ACANG    aa ch aa ng aa ch aa ng
ACAP    aa ch aa p
ACAR    aa ch aa r
ACARA    aa ch aa r aa
ACARAM    aa ch aa r aa m
ACAT    aa ch aa t
ACAU    aa ch ##
ACAWI    aa ch aa w ih
ACERANG    aa ch ## r aa ng
ACI    aa ch ih
